time,P,Q,R,Phi,The,Psi,U,V,W,X,Y,Z,RPM1,RPM2,RPM3,RPM4,mc1,mc2,mc3,mc4,Phi_cmd,The_cmd,Psi_cmd,Alt_cmd
0,0,0,0,0,0,0,0,0,0,0,0,3,4000,4000,4000,4000,38.9632493115251,38.9632493115251,38.9632493115251,38.9632493115251,0,0,0,3.048
0.02,0,0,0,0,0,0,0,0,-0.00890749121240525,0,0,2.99990742344855,4027.03575618648,4027.03575618648,4027.03575618648,4027.03575618648,38.9797663440477,38.9797663440477,38.9797663440477,38.9797663440477,0,0,0,3.048
0.04,0,0,0,0,0,0,0,0,-0.0155640288211859,0,0,2.99965987027956,4048.28959569618,4048.28959569618,4048.28959569618,4048.28959569618,39.0068931520409,39.0068931520409,39.0068931520409,39.0068931520409,0,0,0,3.048
0.06,0,0,0,0,0,0,0,0,-0.0204384254416303,0,0,2.99929759865793,4065.04648873354,4065.04648873354,4065.04648873354,4065.04648873354,39.027613564027,39.027613564027,39.027613564027,39.027613564027,0,0,0,3.048
0.08,0,0,0,0,0,0,0,0,-0.0239024596514665,0,0,2.99885241429109,4078.24522577327,4078.24522577327,4078.24522577327,4078.24522577327,39.043260786224,39.043260786224,39.043260786224,39.043260786224,0,0,0,3.048
0.1,0,0,0,0,0,0,0,0,-0.0262525729934104,0,0,2.9983494641456,4088.62844910306,4088.62844910306,4088.62844910306,4088.62844910306,39.0548847550134,39.0548847550134,39.0548847550134,39.0548847550134,0,0,0,3.048
0.12,0,0,0,0,0,0,0,0,-0.0277247564560555,0,0,2.99780858991984,4096.78371164322,4096.78371164322,4096.78371164322,4096.78371164322,39.0633222013729,39.0633222013729,39.0633222013729,39.0633222013729,0,0,0,3.048
0.14,0,0,0,0,0,0,0,0,-0.0285066381098744,0,0,2.99724541254859,4103.17594890501,4103.17594890501,4103.17594890501,4103.17594890501,39.0692389659885,39.0692389659885,39.0692389659885,39.0692389659885,0,0,0,3.048
0.16,0,0,0,0,0,0,0,0,-0.0287472405086299,0,0,2.99667219888693,4108.17311972673,4108.17311972673,4108.17311972673,4108.17311972673,39.0731642893329,39.0731642893329,39.0731642893329,39.0731642893329,0,0,0,3.048
0.18,0,0,0,0,0,0,0,0,-0.0285648233420053,0,0,2.9960985529392,4112.06646502719,4112.06646502719,4112.06646502719,4112.06646502719,39.0755184451836,39.0755184451836,39.0755184451836,39.0755184451836,0,0,0,3.048
0.2,0,0,0,0,0,0,0,0,-0.0280531663871337,0,0,2.9955319662937,4115.08652182556,4115.08652182556,4115.08652182556,4115.08652182556,39.0766349231584,39.0766349231584,39.0766349231584,39.0766349231584,0,0,0,3.048
0.22,0,0,0,0,0,0,0,0,-0.0272865901853307,0,0,2.99497825590501,4117.41578665385,4117.41578665385,4117.41578665385,4117.41578665385,39.0767781822752,39.0767781822752,39.0767781822752,39.0767781822752,0,0,0,3.048
0.24,0,0,0,0,0,0,0,0,-0.0263239601447403,0,0,2.99444191194414,4119.19873237927,4119.19873237927,4119.19873237927,4119.19873237927,39.0761578269517,39.0761578269517,39.0761578269517,39.0761578269517,0,0,0,3.048
0.26,0,0,0,0,0,0,0,0,-0.0252118749996165,0,0,2.99392637398029,4120.54973341929,4120.54973341929,4120.54973341929,4120.54973341929,39.0749399059896,39.0749399059896,39.0749399059896,39.0749399059896,0,0,0,3.048
0.28,0,0,0,0,0,0,0,0,-0.0239872027224265,0,0,2.99343425012689,4121.55933725846,4121.55933725846,4121.55933725846,4121.55933725846,39.0732559057744,39.0732559057744,39.0732559057744,39.0732559057744,0,0,0,3.048
0.3,0,0,0,0,0,0,0,0,-0.0226790955343236,0,0,2.99296749084622,4122.29922805773,4122.29922805773,4122.29922805773,4122.29922805773,39.0712099003425,39.0712099003425,39.0712099003425,39.0712099003425,0,0,0,3.048
0.32,0,0,0,0,0,0,0,0,-0.0213105898217851,0,0,2.99252752673918,4122.8261555688,4122.8261555688,4122.8261555688,4122.8261555688,39.0688842311357,39.0688842311357,39.0688842311357,39.0688842311357,0,0,0,3.048
0.34,0,0,0,0,0,0,0,0,-0.0198998757230032,0,0,2.99211537774771,4123.18504532307,4123.18504532307,4123.18504532307,4123.18504532307,39.066344015711,39.066344015711,39.066344015711,39.066344015711,0,0,0,3.048
0.36,0,0,0,0,0,0,0,0,-0.0184613041176467,0,0,2.99173173967742,4123.4114608795,4123.4114608795,4123.4114608795,4123.4114608795,39.0636407249191,39.0636407249191,39.0636407249191,39.0636407249191,0,0,0,3.048
0.38,0,0,0,0,0,0,0,0,-0.0170061850390744,0,0,2.99137705273458,4123.53355322362,4123.53355322362,4123.53355322362,4123.53355322362,39.0608150197959,39.0608150197959,39.0608150197959,39.0608150197959,0,0,0,3.048
0.4,0,0,0,0,0,0,0,0,-0.0155434205245713,0,0,2.99105155580509,4123.57360420254,4123.57360420254,4123.57360420254,4123.57360420254,39.0578990006015,39.0578990006015,39.0578990006015,39.0578990006015,0,0,0,3.048
0.42,0,0,0,0,0,0,0,0,-0.0140800061160402,0,0,2.9907553294332,4123.54924857856,4123.54924857856,4123.54924857856,4123.54924857856,39.0549179893335,39.0549179893335,39.0549179893335,39.0549179893335,0,0,0,3.048
0.44,0,0,0,0,0,0,0,0,-0.0126214281964461,0,0,2.99048832984629,4123.47444164536,4123.47444164536,4123.47444164536,4123.47444164536,39.0518919421772,39.0518919421772,39.0518919421772,39.0518919421772,0,0,0,3.048
0.46,0,0,0,0,0,0,0,0,-0.0111719787475682,0,0,2.99025041588604,4123.36022539595,4123.36022539595,4123.36022539595,4123.36022539595,39.04883656852,39.04883656852,39.04883656852,39.04883656852,0,0,0,3.048
0.48,0,0,0,0,0,0,0,0,-0.00973500465835285,0,0,2.99004137032061,4123.21533519032,4123.21533519032,4123.21533519032,4123.21533519032,39.0457642173602,39.0457642173602,39.0457642173602,39.0457642173602,0,0,0,3.048
0.5,0,0,0,0,0,0,0,0,-0.00831310517063199,0,0,2.98986091670641,4123.04668013175,4123.04668013175,4123.04668013175,4123.04668013175,39.0426845793736,39.0426845793736,39.0426845793736,39.0426845793736,0,0,0,3.048
0.52,0,0,0,0,0,0,0,0,-0.00690828823516965,0,0,2.9897087327256,4122.8597234443,4122.8597234443,4122.8597234443,4122.8597234443,39.0396052429143,39.0396052429143,39.0396052429143,39.0396052429143,0,0,0,3.048
0.54,0,0,0,0,0,0,0,0,-0.00552209431748004,0,0,2.98958446073263,4122.65878366875,4122.65878366875,4122.65878366875,4122.65878366875,39.0365321342956,39.0365321342956,39.0365321342956,39.0365321342956,0,0,0,3.048
0.56,0,0,0,0,0,0,0,0,-0.00415569442086719,0,0,2.98948771609115,4122.44727315968,4122.44727315968,4122.44727315968,4122.44727315968,39.0334698664047,39.0334698664047,39.0334698664047,39.0334698664047,0,0,0,3.048
0.58,0,0,0,0,0,0,0,0,-0.00280996768888278,0,0,2.98941809376141,4122.22788693505,4122.22788693505,4122.22788693505,4122.22788693505,39.0304220147098,39.0304220147098,39.0304220147098,39.0304220147098,0,0,0,3.048
0.6,0,0,0,0,0,0,0,0,-0.00148556283533118,0,0,2.98937517350272,4122.00275221237,4122.00275221237,4122.00275221237,4122.00275221237,39.0273913357618,39.0273913357618,39.0273913357618,39.0273913357618,0,0,0,3.048
0.62,0,0,0,0,0,0,0,0,-0.000182946766968636,0,0,2.98935852397959,4121.77354681446,4121.77354681446,4121.77354681446,4121.77354681446,39.0243799401552,39.0243799401552,39.0243799401552,39.0243799401552,0,0,0,3.048
0.64,0,0,0,0,0,0,0,0,0.0010975569356569,0,0,2.98936770600029,4121.54159292448,4121.54159292448,4121.54159292448,4121.54159292448,39.0213894294228,39.0213894294228,39.0213894294228,39.0213894294228,0,0,0,3.048
0.66,0,0,0,0,0,0,0,0,0.00235573756814029,0,0,2.98940227506868,4121.30793132118,4121.30793132118,4121.30793132118,4121.30793132118,39.0184210043717,39.0184210043717,39.0184210043717,39.0184210043717,0,0,0,3.048
0.68,0,0,0,0,0,0,0,0,0.0035914732110096,0,0,2.98946178339282,4121.07338015717,4121.07338015717,4121.07338015717,4121.07338015717,39.0154755508035,39.0154755508035,39.0154755508035,39.0154755508035,0,0,0,3.048
0.7,0,0,0,0,0,0,0,0,0.00480471167332186,0,0,2.9895457814637,4120.83858149761,4120.83858149761,4120.83858149761,4120.83858149761,39.0125537073297,39.0125537073297,39.0125537073297,39.0125537073297,0,0,0,3.048
0.72,0,0,0,0,0,0,0,0,0.0059954554225414,0,0,2.98965381929411,4120.60403816699,4120.60403816699,4120.60403816699,4120.60403816699,39.0096559190072,39.0096559190072,39.0096559190072,39.0096559190072,0,0,0,3.048
0.74,0,0,0,0,0,0,0,0,0.00716374967039776,0,0,2.98978544738865,4120.37014292118,4120.37014292118,4120.37014292118,4120.37014292118,39.0067824797484,39.0067824797484,39.0067824797484,39.0067824797484,0,0,0,3.048
0.76,0,0,0,0,0,0,0,0,0.00830967295723985,0,0,2.98994021750132,4120.13720154245,4120.13720154245,4120.13720154245,4120.13720154245,39.0039335658444,39.0039335658444,39.0039335658444,39.0039335658444,0,0,0,3.048
0.78,0,0,0,0,0,0,0,0,0.00943332971426419,0,0,2.9901176832252,4119.90545112237,4119.90545112237,4119.90545112237,4119.90545112237,39.0011092624497,39.0011092624497,39.0011092624497,39.0011092624497,0,0,0,3.048
0.8,0,0,0,0,0,0,0,0,0.0105348443913749,0,0,2.99031740044959,4119.67507453421,4119.67507453421,4119.67507453421,4119.67507453421,38.9983095844989,38.9983095844989,38.9983095844989,38.9983095844989,0,0,0,3.048
